Gene	Newman-control-R01	Newman-control-R02	Newman-control-R03	Newman-min10-R01	Newman-min10-R02	Newman-min10-R03	Newman-min2-R01	Newman-min2-R02	Newman-min2-R03	Newman-min20-R01	Newman-min20-R02	Newman-min20-R03	Newman-min30-R01	Newman-min30-R02	Newman-min30-R03	Newman-min5-R01	Newman-min5-R02	Newman-min5-R03
CDS_0146	0	0	0	709	544	1129	3	2	20	2351	1457	1413	3050	1780	1142	218	22	411
CDS_0147	0	0	0	7147	4702	11740	35	43	93	27658	16488	15859	35132	21397	13017	2159	238	3481
CDS_0148	0	0	0	1516	1210	2793	7	11	13	7784	4245	4334	9203	6216	3638	407	38	620
CDS_0149	2	0	1	5896	4683	9690	202	36	577	26931	14500	16297	32612	20583	12522	1938	305	2944
CDS_0150	1	0	1	7704	5403	12941	395	85	1133	29516	15763	18950	30865	21896	11531	3385	493	7566
CDS_0151	0	2	0	6069	4558	10087	213	53	807	23350	12603	13895	23344	17962	8966	2310	398	5266
CDS_0152	1	0	0	11037	8653	16130	534	115	1620	33052	19849	20325	30773	22512	12109	5035	781	10644
CDS_0153	1	0	0	5518	5015	7140	382	83	1163	7972	7073	5764	4670	3939	3406	2918	438	6558
CDS_0154	0	1	0	2057	1797	2933	120	22	380	3306	2988	2273	1884	1620	1454	1048	147	2570
CDS_0155	0	0	0	10487	7562	16215	379	135	1360	19169	17327	11562	10531	8933	6830	4641	650	11192
CDS_0156	0	0	0	3544	2447	5431	119	37	422	6513	5641	4216	3413	3064	2272	1459	200	3302
CDS_0157	1	0	0	5003	3666	7984	141	38	438	10682	8856	6748	5165	5156	3309	1860	245	4162
CDS_0158	0	1	0	3877	2413	5827	131	32	508	10677	6328	6980	7340	5684	3292	1597	208	3416
CDS_0159	1	2	0	7658	4593	13151	209	76	788	25870	15012	16816	17940	13779	7626	3111	478	6724
CDS_0160	0	1	1	7799	4939	12998	207	66	619	25755	15157	17100	18996	14769	8317	2996	461	6054
CDS_0161	1	0	1	3379	2172	5108	73	24	266	10441	6061	6410	8593	6587	3252	1240	192	2474
CDS_0162	1	1	0	14358	9096	23656	247	107	825	46503	29563	26873	40012	31234	14656	5183	652	9381
CDS_0163	0	1	0	6122	3883	10479	53	31	173	25155	13981	13930	21712	16437	7619	1931	202	3274
CDS_0164	0	0	0	2337	1415	4301	14	10	36	10730	5463	6327	9490	7052	3030	639	79	1071
CDS_0165	0	0	0	2886	1750	5234	20	11	47	15194	7035	9711	13944	10329	4381	711	77	1315
CDS_0166	0	0	0	93	130	134	13	1	32	746	241	492	594	598	191	41	11	86
CDS_0167	0	0	0	697	807	1374	80	5	195	6997	2110	4843	6375	5878	2089	352	70	732
CDS_0168	0	0	0	543	569	1005	35	8	112	5386	1513	3434	4998	4375	1607	217	48	484
CDS_0169	0	1	0	5384	4249	7165	349	71	1095	8190	7440	6255	4548	3976	3425	2822	438	6866
CDS_0170	0	0	0	5529	4642	7118	248	63	684	8833	7176	8182	5793	4565	4083	2806	343	5567
CDS_0171	0	1	0	7473	5505	11901	197	84	613	15558	13800	9975	8561	7691	5057	3133	419	7696
CDS_0172	0	2	0	1220	795	1861	20	15	57	2754	2184	1866	1272	1350	827	463	52	944
CDS_0173	0	2	0	3580	3072	6155	93	27	231	8029	6994	6249	3998	4310	2670	1376	168	2923
CDS_0174	2	0	0	415	310	612	10	3	41	908	774	551	475	502	333	161	24	314
CDS_0175	1	1	0	6045	3653	9179	144	42	423	12323	11065	8151	6545	6552	3834	2100	272	4402
CDS_0176	0	0	0	5316	3862	8314	244	58	737	13760	10314	9147	8045	7746	4685	2313	310	5225
CDS_0177	0	0	0	7211	5222	11238	283	74	935	15556	13079	10985	8304	8113	5416	3158	414	6973
CDS_0178	2	7	1	30061	15271	50934	528	216	2069	87066	62788	61561	52188	53045	28913	10820	1595	21299
